,Neighbourhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
101,Bexley,51.45102690534061,0.0791827299516828,Avery Hill Park,51.44598349055138,0.07342815399169922,Park
102,Bexley,51.45102690534061,0.0791827299516828,Eltham Park South,51.455424234289886,0.06643295288085938,Park
103,Bexley,51.45102690534061,0.0791827299516828,Jolly Fenman,51.45146928937769,0.09096264987037792,Pub
104,Bexley,51.45102690534061,0.0791827299516828,Capital Ring Section 2,51.45903420098401,0.08117437362670898,Hiking Trail
105,Bexley,51.45102690534061,0.0791827299516828,Co-op Food - Valliers Wood,51.44148446946658,0.08688830359084854,Grocery Store / Supermarket
106,Bexley,51.45102690534061,0.0791827299516828,The Falcon,51.45854291379008,0.08040420077995629,English Restaurant
107,Bexley,51.45102690534061,0.0791827299516828,Eltham Park South Cafe,51.45547771736147,0.06767749786376953,Café
108,Bexley,51.45102690534061,0.0791827299516828,Charlton Football Club Training Ground,51.442874330610174,0.07264446722340746,Soccer Field
109,Bexley,51.45102690534061,0.0791827299516828,Star of India,51.450714,0.064183,Indian Restaurant
110,Bexley,51.45102690534061,0.0791827299516828,Oxleas Wood,51.466621259286036,0.06966527629315813,Forest
111,Bexley,51.45102690534061,0.0791827299516828,King Neptune Fish & Chips,51.44282391523412,0.08661829192368845,Fish and Chips Shop
112,Bexley,51.45102690534061,0.0791827299516828,Tai Pan,51.443360668203745,0.070187225369661,Chinese Restaurant
113,Bexley,51.45102690534061,0.0791827299516828,Eltham Park South Playground,51.45663070678711,0.06672833114862442,Playground
114,Bexley,51.45102690534061,0.0791827299516828,Rixos,51.450678,0.057724,Mediterranean Restaurant
115,Bexley,51.45102690534061,0.0791827299516828,The Rusty Bucket Pub,51.45035141440556,0.05216091871261597,Pub
116,Bexley,51.45102690534061,0.0791827299516828,Nando's,51.45054026,0.05653644,Restaurant
117,Bexley,51.45102690534061,0.0791827299516828,The Rising Sun,51.4507943380767,0.05853357054958461,Pub
118,Bexley,51.45102690534061,0.0791827299516828,Eltham Park North,51.458926988342114,0.06837266932008426,State / Provincial Park
119,Bexley,51.45102690534061,0.0791827299516828,Maharani,51.441629479624424,0.0864453804450899,Indian Restaurant
120,Bexley,51.45102690534061,0.0791827299516828,Vue,51.45068,0.05645,Movie Theater
121,Bexley,51.45102690534061,0.0791827299516828,Lale Restaurant,51.45094147813716,0.05145458614484553,Turkish Restaurant
122,Bexley,51.45102690534061,0.0791827299516828,The Halfway House,51.44130253747541,0.08665901958011091,Beer Bar
123,Bexley,51.45102690534061,0.0791827299516828,Shepherdleas Wood,51.461102,0.072799,Forest
124,Bexley,51.45102690534061,0.0791827299516828,Costa Coffee,51.451008251248076,0.05413882783880663,Coffee Shop
125,Bexley,51.45102690534061,0.0791827299516828,Nisa Local,51.4463452,0.0950002,Convenience Store
126,Bexley,51.45102690534061,0.0791827299516828,Shampan 3,51.456741023874656,0.0941851943743317,Indian Restaurant
127,Bexley,51.45102690534061,0.0791827299516828,The Pavilion,51.44587030612294,0.0636439969623579,Soccer Field
128,Bexley,51.45102690534061,0.0791827299516828,River Shuttle,51.44526815547221,0.09417434636677728,River
129,Bexley,51.45102690534061,0.0791827299516828,Eltham GPO,51.4503454752311,0.0540715508832256,Pub
130,Bexley,51.45102690534061,0.0791827299516828,Sun Shing,51.457035,0.094015,Café
131,Bexley,51.45102690534061,0.0791827299516828,The Falcon Tandoori,51.4568014034154,0.09426355361938477,Indian Restaurant
132,Bexley,51.45102690534061,0.0791827299516828,Oxleas Wood Cafe,51.46650094648184,0.0697064082304458,Café
133,Bexley,51.45102690534061,0.0791827299516828,Welling Ear Wax Clinic,51.45676129228076,0.09472489356994628,Healthcare Clinic
134,Bexley,51.45102690534061,0.0791827299516828,Foots Cray Rugby Club,51.442815703704234,0.06666567334927785,Soccer Field
135,Bexley,51.45102690534061,0.0791827299516828,McColl's,51.44061002148325,0.0878200063065151,Convenience Store
136,Bexley,51.45102690534061,0.0791827299516828,Lidl,51.450864860710226,0.05595071875861638,Grocery Store / Supermarket
137,Bexley,51.45102690534061,0.0791827299516828,Park Tavern,51.449834426954695,0.05439999939558418,Beer Bar
138,Bexley,51.45102690534061,0.0791827299516828,Ziyafet,51.450758998640495,0.05798186393038953,Turkish Restaurant
139,Bexley,51.45102690534061,0.0791827299516828,Co-op Food - New Eltham,51.43846523221761,0.07091733349686269,Grocery Store / Supermarket
140,Bexley,51.45102690534061,0.0791827299516828,Greggs,51.450965881347656,0.05627039819955826,Bakery
141,Bexley,51.45102690534061,0.0791827299516828,E & S Barbers,51.439268,0.075315,Barbershop
142,Bexley,51.45102690534061,0.0791827299516828,J & S Accessories,51.450726830761866,0.05981882094570819,Automotive Service
143,Bexley,51.45102690534061,0.0791827299516828,Say's Sugarcraft,51.4507107925206,0.059681832790374756,Bakery
144,Bexley,51.45102690534061,0.0791827299516828,Eltham Town Football Club,51.44327950991454,0.06363496731961978,Sports Club
145,Bexley,51.45102690534061,0.0791827299516828,Regain Hearing,51.450813,0.059032,Medical Supply Store
146,Bexley,51.45102690534061,0.0791827299516828,Village Eat Inn,51.450842,0.058983,Himalayan Restaurant
147,Bexley,51.45102690534061,0.0791827299516828,B&Q,51.44553849883985,0.061512100973506456,Home Improvement Service
148,Bexley,51.45102690534061,0.0791827299516828,Next,51.45060597,0.05620601,Clothing Store
149,Bexley,51.45102690534061,0.0791827299516828,TK Maxx,51.450808,0.054622,Department Store
150,Brent,51.61025850572996,-0.19407337283376902,Finchley Golf Club,51.60986540126883,-0.20180764854402544,Golf Course
151,Brent,51.61025850572996,-0.19407337283376902,Vero Caffe,51.615112166441996,-0.19073206865685788,Café
152,Brent,51.61025850572996,-0.19407337283376902,Michaels,51.61518398585476,-0.1908528632543368,Café
153,Brent,51.61025850572996,-0.19407337283376902,Divans,51.60547134466984,-0.18784697192525088,Chinese Restaurant
154,Brent,51.61025850572996,-0.19407337283376902,Durum,51.60461256605286,-0.1888491529127337,Turkish Restaurant
155,Brent,51.61025850572996,-0.19407337283376902,Victoria Park,51.60523055074609,-0.1846199276499771,Park
156,Brent,51.61025850572996,-0.19407337283376902,Leisure Games,51.60408444621746,-0.18931396900688024,Toy / Game Store
157,Brent,51.61025850572996,-0.19407337283376902,Cochin,51.603208,-0.191178,Indian Restaurant
158,Brent,51.61025850572996,-0.19407337283376902,Beheshte Barin,51.60444083809936,-0.18901225817288025,Persian Restaurant
159,Brent,51.61025850572996,-0.19407337283376902,Waitrose,51.6113840885588,-0.1800974874822714,Grocery Store / Supermarket
160,Brent,51.61025850572996,-0.19407337283376902,Tintico,51.60111707190908,-0.1937450593977982,Coffee Shop
161,Brent,51.61025850572996,-0.19407337283376902,Vy Nam Cafe,51.60097415612051,-0.19410286863461287,Vietnamese Restaurant
162,Brent,51.61025850572996,-0.19407337283376902,Man Chui III,51.60377849178773,-0.1897940723062145,Cantonese Restaurant
163,Brent,51.61025850572996,-0.19407337283376902,Ishtah,51.60000014684196,-0.19599437713623047,Turkish Restaurant
164,Brent,51.61025850572996,-0.19407337283376902,"The Elephant Inn, Finchley",51.61151,-0.179197,Bar
165,Brent,51.61025850572996,-0.19407337283376902,Izgara,51.60001140587223,-0.19603695829001985,Turkish Restaurant
166,Brent,51.61025850572996,-0.19407337283376902,Bites,51.60105242223279,-0.19392091902585573,Café
167,Brent,51.61025850572996,-0.19407337283376902,Shish Restaurant,51.602318934671416,-0.19237809259451363,Turkish Restaurant
168,Brent,51.61025850572996,-0.19407337283376902,Tesco,51.6031379,-0.1920809,Grocery Store / Supermarket
169,Brent,51.61025850572996,-0.19407337283376902,Superdrug Stores,51.60425695853811,-0.18956445369768773,Drugstore
170,Brent,51.61025850572996,-0.19407337283376902,Subway,51.6043692255197,-0.18919096058330187,Fast Food Restaurant
171,Brent,51.61025850572996,-0.19407337283376902,Ambiente UK,51.60418,-0.189369,Italian Restaurant
172,Brent,51.61025850572996,-0.19407337283376902,Sun & Sand,51.5998150277759,-0.19665803686852454,Wine Bar
173,Brent,51.61025850572996,-0.19407337283376902,Boulangerie Joie De Vie,51.61407918705592,-0.17680505490055815,Bakery
174,Brent,51.61025850572996,-0.19407337283376902,El Bazaar,51.602124971498405,-0.19274252369292236,Hookah Bar
175,Brent,51.61025850572996,-0.19407337283376902,The Bohemia,51.61530298870641,-0.176606810713685,Beer Bar
176,Brent,51.61025850572996,-0.19407337283376902,Sakura Sushi,51.60401,-0.189939,Japanese Restaurant
177,Brent,51.61025850572996,-0.19407337283376902,Yijo Korean Restaurant,51.60086805600782,-0.19358786623607266,Chinese Restaurant
178,Brent,51.61025850572996,-0.19407337283376902,Barclays Bank,51.60273728613538,-0.19154359008138983,Bank
179,Brent,51.61025850572996,-0.19407337283376902,Izakaya Japan,51.600857780915824,-0.19425185505777973,Japanese Restaurant
180,Brent,51.61025850572996,-0.19407337283376902,Little Waitrose,51.6000297,-0.1948863,Grocery Store / Supermarket
181,Brent,51.61025850572996,-0.19407337283376902,KFC,51.60414524,-0.18997427,Fast Food Restaurant
182,Brent,51.61025850572996,-0.19407337283376902,Halfords,51.602556496112356,-0.19529254194245776,Car Parts and Accessories
183,Brent,51.61025850572996,-0.19407337283376902,HSBC Bank,51.602052181626505,-0.19246906014904727,Bank
184,Brent,51.61025850572996,-0.19407337283376902,Nippon Izakaya,51.617443,-0.17691918,Sushi Restaurant
185,Brent,51.61025850572996,-0.19407337283376902,Greggs,51.60234079235234,-0.19237200430775958,Bakery
186,Brent,51.61025850572996,-0.19407337283376902,Joiners Arms,51.603272472347285,-0.1914350435686174,Bar
187,Brent,51.61025850572996,-0.19407337283376902,Mill Hill Viaduct,51.604961,-0.201844,Bridge
188,Brent,51.61025850572996,-0.19407337283376902,Chicken Society,51.60076164742066,-0.19459171288385171,Restaurant
189,Brent,51.61025850572996,-0.19407337283376902,Domino's Pizza,51.60200403809511,-0.19308572798752266,Pizzeria
190,Brent,51.61025850572996,-0.19407337283376902,Costa Coffee,51.60241995096337,-0.19217140180272824,Coffee Shop
191,Brent,51.61025850572996,-0.19407337283376902,Ai Sushi,51.6174555986311,-0.17669576228337167,Sushi Restaurant
192,Brent,51.61025850572996,-0.19407337283376902,M and S Simply Food,51.604913729698865,-0.2066667039571771,Grocery Store / Supermarket
193,Brent,51.61025850572996,-0.19407337283376902,Atariya Japanese Food,51.60822681196074,-0.1753855310291744,Grocery Store / Supermarket
194,Brent,51.61025850572996,-0.19407337283376902,Whetstone Wanderers FC,51.61769534009303,-0.19132899335826892,Soccer Field
195,Brent,51.61025850572996,-0.19407337283376902,Waterstone's,51.61593265615856,-0.17666659948721988,Bookstore
196,Brent,51.61025850572996,-0.19407337283376902,Totally Espresso,51.59681353892182,-0.19753694225516674,Coffee Shop
197,Brent,51.61025850572996,-0.19407337283376902,Barista Coffee House,51.60228363081828,-0.19256158013843946,Coffee Shop
198,Brent,51.61025850572996,-0.19407337283376902,Sainsbury's Local,51.6005667,-0.1949291,Convenience Store
199,Brent,51.61025850572996,-0.19407337283376902,The Catcher in the Rye,51.59961186243841,-0.19613699584999722,Bar
200,Bromley,51.60149176873691,-0.06672039097267951,The Goal Line Bar,51.60273749862454,-0.06600267721296404,Sports Bar
201,Bromley,51.60149176873691,-0.06672039097267951,Spurs & NFL Shop,51.60304558077478,-0.0675809383392334,Sporting Goods Retail
202,Bromley,51.60149176873691,-0.06672039097267951,Beavertown Tottenham Microbrewery and Taproom,51.60283191090859,-0.06543867613800103,Brewery
203,Bromley,51.60149176873691,-0.06672039097267951,Tottenham Hotspur Stadium,51.60443557521558,-0.0662076473236084,Stadium
204,Bromley,51.60149176873691,-0.06672039097267951,Koyum,51.603908920118876,-0.06794429884991947,Fast Food Restaurant
205,Bromley,51.60149176873691,-0.06672039097267951,Bell & Hare,51.602023428367126,-0.06722942350895361,Bar
206,Bromley,51.60149176873691,-0.06672039097267951,Bite to Eat,51.60107500364748,-0.06751673503667094,Café
207,Bromley,51.60149176873691,-0.06672039097267951,The Bluecoats,51.59694,-0.06819617,Pub
208,Bromley,51.60149176873691,-0.06672039097267951,Sainsbury's Local,51.6002834,-0.0681425,Convenience Store
209,Bromley,51.60149176873691,-0.06672039097267951,The Bricklayers Arms,51.605859133006724,-0.06819686278260052,Pub
210,Bromley,51.60149176873691,-0.06672039097267951,The Blue Bar 675,51.6002934077908,-0.06793476230777376,Bar
211,Bromley,51.60149176873691,-0.06672039097267951,The Bill Nicholson,51.605786995018676,-0.06170151534391279,Pub
212,Bromley,51.60149176873691,-0.06672039097267951,La Royale Banqueting Suites,51.60624891063644,-0.06888275140848721,Event Service
213,Bromley,51.60149176873691,-0.06672039097267951,Sainsbury's,51.60608132900166,-0.0664808456719923,Grocery Store / Supermarket
214,Bromley,51.60149176873691,-0.06672039097267951,San Marco,51.59425569909597,-0.07007692483325334,Italian Restaurant
215,Bromley,51.60149176873691,-0.06672039097267951,Domino's Pizza,51.606127146166415,-0.0683698317661765,Pizzeria
216,Bromley,51.60149176873691,-0.06672039097267951,Can Ciger Cig Kofte,51.60500148463792,-0.06821543301892136,Turkish Restaurant
217,Bromley,51.60149176873691,-0.06672039097267951,The Beehive,51.592203,-0.069205,Beer Bar
218,Bromley,51.60149176873691,-0.06672039097267951,Barclays Bank,51.60736617206545,-0.06768689280112017,Bank
219,Bromley,51.60149176873691,-0.06672039097267951,The Coach & Horses,51.60756822679514,-0.06791694105909586,Pub
220,Bromley,51.60149176873691,-0.06672039097267951,Elbow Room,51.5934664,-0.0697984,Bar
221,Bromley,51.60149176873691,-0.06672039097267951,Loon Fung,51.60839625332947,-0.060553550720214844,Warehouse / Wholesale Store
222,Bromley,51.60149176873691,-0.06672039097267951,b and m Home Store,51.6079141,-0.0698141,Discount Store
223,Bromley,51.60149176873691,-0.06672039097267951,Pressure Drop Brewery & Taproom,51.59059773192847,-0.0579861082470803,Bar
224,Bromley,51.60149176873691,-0.06672039097267951,The Garden House,51.591501792590364,-0.06939972365895845,Café
225,Bromley,51.60149176873691,-0.06672039097267951,Beavertown Brewery,51.59101437751216,-0.056705642894712596,Brewery
226,Bromley,51.60149176873691,-0.06672039097267951,Iceland,51.59440075407869,-0.06932429778494217,Food and Beverage Retail
227,Bromley,51.60149176873691,-0.06672039097267951,Neighbours Fish Bar,51.59369384486426,-0.07836153116343605,Fish and Chips Shop
228,Bromley,51.60149176873691,-0.06672039097267951,Tottenham Marshes,51.5983380521206,-0.05161754601987363,Park
229,Bromley,51.60149176873691,-0.06672039097267951,The Cause,51.589948,-0.062224,Arts and Entertainment
230,Bromley,51.60149176873691,-0.06672039097267951,Styx Around Limited,51.58946181577941,-0.061118777641651335,Bar
231,Bromley,51.60149176873691,-0.06672039097267951,The High Cross,51.589317,-0.070183,Pub
232,Bromley,51.60149176873691,-0.06672039097267951,Pizza Hut,51.6134083,-0.0648659,Fast Food Restaurant
233,Bromley,51.60149176873691,-0.06672039097267951,Costa Coffee,51.61148035367486,-0.06501576991002633,Coffee Shop
234,Bromley,51.60149176873691,-0.06672039097267951,The Gilpin's Bell,51.61020351438821,-0.0657353840410119,Pub
235,Bromley,51.60149176873691,-0.06672039097267951,Tottenham Green Market,51.587774349786756,-0.07151384018006374,Grocery Store / Supermarket
236,Bromley,51.60149176873691,-0.06672039097267951,Bernie Grant Arts Centre,51.5896881128506,-0.0768418300599425,Music Venue
237,Bromley,51.60149176873691,-0.06672039097267951,Lidl,51.614654620133265,-0.06559010217490195,Grocery Store / Supermarket
238,Bromley,51.60149176873691,-0.06672039097267951,Powerleague Soccercentres,51.607217,-0.054449,Gym and Studio
